1;66;IKEA Augsburg 
2;324;IKEA Berlin-Lichtenberg 
3;394;IKEA Berlin-Spandau 
4;421;IKEA Berlin-Tempelhof 
5;129;IKEA Berlin-Waltersdorf 
6;119;IKEA Bielefeld 
7;117;IKEA Braunschweig 
8;412;IKEA Bremerhaven 
9;228;IKEA Brinkum 
10;118;IKEA Chemnitz 
11;223;IKEA Dortmund 
12;221;IKEA Dresden 
13;425;IKEA Duisburg 
14;321;IKEA Düsseldorf 
15;396;IKEA Erfurt 
16;148;IKEA Essen 
17;393;IKEA Frankfurt 
18;320;IKEA Freiburg 
19;226;IKEA Großüburgwedel 
20;139;IKEA Halle/Leipzig 
21;245;IKEA Hamburg-Altona 
22;325;IKEA Hamburg-Moorfleet 
23;146;IKEA Hamburg-Schnelsen 
24;222;IKEA Hanau 
25;187;IKEA Hannover EXPO-Park 
26;494;IKEA Kaarst 
27;430;IKEA Kaiserslautern 
28;323;IKEA Kamen 
29;174;IKEA Kassel 
30;333;IKEA Kiel 
31;332;IKEA Koblenz 
32;102;IKEA Köln-Butzweilerhof 
33;147;IKEA Köln-Godorf 
34;289;IKEA Lübeck 
35;225;IKEA Ludwigsburg 
36;520;IKEA Magdeburg 
37;397;IKEA Mannheim 
38;343;IKEA München-Brunnthal 
39;63;IKEA München-Eching 
40;326;IKEA Nürnberg/Fürth 
41;69;IKEA Oldenburg 
42;184;IKEA Osnabrück 
43;229;IKEA Regensburg 
44;92;IKEA Rostock 
45;227;IKEA Saarlouis 
46;369;IKEA Siegen 
47;224;IKEA Sindelfingen 
48;328;IKEA Ulm 
49;322;IKEA Wallau 
50;75;IKEA Walldorf 
51;493;IKEA Wetzlar 
52;492;IKEA Wuppertal 
53;124;IKEA Würzburg 
